id,Year,Cantril ladder score
133,2018,3.4619
133,2017,3.4619
133,2016,3.462
133,2015,3.069
133,2014,3.006
133,2011,4.735339
138,2022,5.3298
138,2021,5.3771
138,2020,5.4662
138,2019,5.5557
138,2018,5.4673
138,2017,5.3525
138,2016,5.041
138,2015,4.996
138,2014,4.786
138,2011,4.613789
143,2022,3.6938
143,2021,3.7024
143,2020,3.6232
143,2019,3.4762
143,2018,3.2307
143,2017,3.3035
143,2016,3.349
143,2015,3.666
143,2014,3.781
143,2011,3.800163
137,2022,5.843
137,2021,5.8912
137,2020,5.9847
137,2019,5.9988
137,2018,6.008
137,2017,6.0723
137,2016,6.424
137,2015,6.474
137,2014,6.455
137,2011,5.80368
136,2022,4.1374
136,2021,4.1123
136,2020,4.1068
136,2019,4.1872
136,2018,4.0849
136,2017,3.9985
136,2016,3.495
136,2015,3.303
136,2014,2.839
136,2011,3.007487
142,2019,6.1919
142,2018,6.1919
142,2017,6.1919
142,2016,6.168
142,2015,6.168
142,2014,6.168
142,2011,6.262625
140,2022,4.4967
140,2021,4.516
140,2020,4.5965
140,2019,4.3922
140,2018,4.4606
140,2017,4.5924
140,2016,4.805
140,2015,5.045
140,2014,4.739
140,2011,5.140657
141,2022,4.6135
141,2021,4.7442
141,2020,4.9476
141,2019,5.1318
141,2018,5.3726
141,2017,5.4825
141,2016,5.05
141,2015,5.389
141,2014,5.332
141,2011,5.233999
139,2021,5.4743
139,2020,5.0664
139,2019,5.1191
139,2018,5.2467
139,2017,5.6362
139,2016,5.822
139,2015,5.658
139,2014,5.548
139,2011,6.567713
145,2022,4.4325
145,2021,4.6026
145,2020,4.6365
145,2019,4.432
145,2018,4.1894
145,2017,4.1608
145,2016,4.081
145,2015,3.739
145,2014,3.931
145,2011,4.313321
144,2022,5.0714
144,2021,5.0841
144,2020,4.8748
144,2019,4.5607
144,2018,4.3322
144,2017,4.1029
144,2016,4.096
144,2015,4.324
144,2014,4.681
144,2011,5.089082
1,2022,6.5712
1,2021,6.576
1,2020,6.5605
1,2019,6.7908
1,2018,6.8245
1,2017,6.7741
1,2016,6.648
1,2015,6.573
1,2014,6.901
1,2011,6.977243
47,2022,6.7956
47,2021,6.9425
47,2020,7.0636
47,2019,7.1645
47,2018,7.0537
47,2017,6.8143
47,2016,6.714
47,2015,6.725
47,2014,6.867
47,2011,6.936396
146,2022,6.8937
146,2021,6.9768
146,2020,6.9515
146,2019,6.9396
146,2018,6.8923
146,2017,6.886
146,2016,6.993
146,2015,7.104
146,2014,7.119
146,2011,7.270243
147,2022,6.4939
147,2021,6.4736
147,2020,6.4314
147,2019,6.4401
147,2018,6.2933
147,2017,6.3788
147,2016,6.454
147,2015,6.545
147,2014,6.485
147,2011,5.898252
148,2022,6.0143
148,2021,6.0627
148,2020,6.1788
148,2019,6.2576
148,2018,6.1741
148,2017,6.0961
148,2016,5.971
148,2015,5.987
148,2014,6.003
148,2011,5.224832
149,2022,5.2106
149,2021,4.9255
149,2020,4.8922
149,2019,5.0532
149,2018,4.7066
149,2017,4.8056
149,2016,5.25
149,2015,6.084
149,2014,6.81
149,2011,6.922258
150,2022,5.7633
150,2021,5.485
150,2020,5.4108
150,2019,5.3535
150,2018,5.1753
150,2017,5.1032
150,2016,5.074
150,2015,5.061
150,2014,5.36
150,2011,5.425293
151,2021,4.1969
151,2020,3.6579
151,2019,3.5274
151,2018,3.3798
151,2017,3.3549
151,2016,3.593
151,2015,3.724
151,2014,4.077
151,2011,4.453632
153,2022,3.9822
153,2021,3.7598
153,2020,4.0734
153,2019,3.7594
153,2018,4.1066
153,2017,4.3771
153,2016,4.514
153,2015,4.795
153,2014,5.129
153,2011,4.704553
154,2022,3.2035
154,2021,2.9951
154,2020,3.1448
154,2019,3.2992
154,2018,3.6632
154,2017,3.6923
154,2016,3.875
154,2015,4.193
154,2014,4.61
154,2011,3.978434
